department,url
Darton College of Health Professions,https://www.asurams.edu/academic-affairs/dchealthprof/index.php
department of nursing,https://www.asurams.edu/academic-affairs/dchealthprof/nursing/index.php
department of health sciences,https://www.asurams.edu/academic-affairs/dchealthprof/health/index.php
department of health and human performance,https://www.asurams.edu/academic-affairs/dchealthprof/hhp/index.php
"college of business, eduation, and professional studies",https://www.asurams.edu/academic-affairs/college-of-business-education-professional-studies/index.php
School of Business,https://www.asurams.edu/academic-affairs/college-of-business-education-professional-studies/business-division
Criminal Justice,https://www.asurams.edu/academic-affairs/college-of-business-education-professional-studies/criminal-justice/index.php
School of Education,https://www.asurams.edu/academic-affairs/college-of-business-education-professional-studies/school-of-education/index.php
Social Work,https://www.asurams.edu/academic-affairs/college-of-business-education-professional-studies/social-work/index.php
Masters of Business Administration,https://www.asurams.edu/academic-affairs/college-of-business-education-professional-studies/business-division/masters-degree-programs.php
Masters of Public Administration,https://www.asurams.edu/academic-affairs/college-of-business-education-professional-studies/public-administration.php
Army (ROTC),https://www.asurams.edu/academic-affairs/college-of-business-education-professional-studies/rotc/
college of arts and sciences,https://www.asurams.edu/academic-affairs/college-of-arts-sciences/index.php
Natural Sciences,https://www.asurams.edu/academic-affairs/college-of-arts-sciences/natural-sciences/index.php
Arts and Humanities,https://www.asurams.edu/academic-affairs/college-of-arts-sciences/arts-and-humanities/index.php
"Mathematics, Computer Science and Physics",https://www.asurams.edu/academic-affairs/college-of-arts-sciences/mathematics-computer_science-physics/index.php
Social Sciences,https://www.asurams.edu/academic-affairs/college-of-arts-sciences/social-sciences/index.php
Broadcast Center,https://www.asurams.edu/academic-affairs/college-of-arts-sciences/broadcast-center/index.php
graduate school,https://www.asurams.edu/academic-affairs/graduate-studies/index.php
home,https://www.asurams.edu/
