Department,url
college of arts and sciences,https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/
department of communication,https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/communications/
department of computer science,https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/computer-science/
department of fine and performing arts,https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/fine-and-performing-arts/
department of history and government,https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/history-and-government/
"department of language, literature, and cultural studies",https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/language-literature-and-cultural-studies/
department of mathematics,https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/mathematics/
department of military science,https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/military-science/
department of natural sciences,https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/natural-sciences/
department of technology and security,https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/technology-and-security/
college of business,https://www.bowiestate.edu/academics/colleges/college-of-business/
"department of accounting, finance, and economics",https://www.bowiestate.edu/academics/colleges/college-of-business/departments/accounting-finance-and-economics/
department of management information systems,https://www.bowiestate.edu/academics/colleges/college-of-business/departments/management-information-systems/index.php
"department of management, marketing, and public administration",https://www.bowiestate.edu/academics/colleges/college-of-business/departments/management-marketing-and-public-administration/
college of education,https://www.bowiestate.edu/academics/colleges/college-of-education/
department of counseling,https://www.bowiestate.edu/academics/colleges/college-of-education/departments/counseling/
department of educational leadership,https://www.bowiestate.edu/academics/colleges/college-of-education/departments/educational-leadership/
"department of teaching, learning, and professional development",https://www.bowiestate.edu/academics/colleges/college-of-education/departments/teaching-learning-and-professional-development/
college of professional studies,https://www.bowiestate.edu/academics/colleges/college-of-professional-studies/
department of behavioral sciences and human services,https://www.bowiestate.edu/academics/colleges/college-of-professional-studies/departments/behavioral-sciences-and-human-services/
department of nursing,https://www.bowiestate.edu/academics/colleges/college-of-professional-studies/departments/nursing/
department of psychology,https://www.bowiestate.edu/academics/colleges/college-of-professional-studies/departments/psychology/
department of social work,https://www.bowiestate.edu/academics/colleges/college-of-professional-studies/departments/social-work/
home,https://www.bowiestate.edu/
