department,url
college of arts and sciences and education,https://www.coppin.edu/about/colleges/college-arts-sciences-and-education
school of arts and sciences,https://www.coppin.edu/about/colleges/college-arts-sciences-and-education/school-arts-sciences
school of education,https://www.coppin.edu/about/colleges/college-arts-sciences-and-education/school-education
department of humanities,https://www.coppin.edu/about/colleges/college-arts-sciences-and-education/school-arts-sciences/department-humanities
department of mathematics and computer science,https://www.coppin.edu/about/colleges/college-arts-sciences-and-education/school-arts-sciences/department-mathematics-and
department of natural sciences,https://www.coppin.edu/about/colleges/college-arts-sciences-and-education/school-arts-sciences/department-natural-sciences
department of instructional leadership and professional development,https://www.coppin.edu/about/colleges/college-arts-sciences-and-education/school-education/department-instructional
department of teaching and learning,https://www.coppin.edu/about/colleges/college-arts-sciences-and-education/school-education/department-teaching-and
college of behavioral and social sciences,https://www.coppin.edu/about/colleges/college-behavioral-and-social-sciences
"department of psychology, counseling, and behavioral health",https://www.coppin.edu/department-psychology-counseling-and-behavioral-health
department of social work,https://www.coppin.edu/about/division-academic-affairs/department-social-work
department of applied social and political sciences,https://www.coppin.edu/asps
department of criminal justice,https://www.coppin.edu/about/department-criminal-justice
college of business,https://www.coppin.edu/about/colleges/college-business
"department of accounting, data science, and management information systems",https://www.coppin.edu/about/colleges/college-business/department-accounting-and-management-information-systems
department of management and marketing,https://www.coppin.edu/about/colleges/college-business/department-management-and-marketing
college of graduate studies,https://www.coppin.edu/about/divisions/division-academic-affairs/school-graduate-studies
college of health professions,https://www.coppin.edu/about/colleges/college-health-professions
helene fuld school of nursing,https://www.coppin.edu/son
school of allied health,https://www.coppin.edu/about/colleges/college-health-professions/school-allied-health
department of health and health education,https://www.coppin.edu/about/colleges/college-health-professions/school-allied-health/department-health-and-health
department of health information management,https://www.coppin.edu/about/colleges/college-health-professions/department-health-information-management
honme,https://www.coppin.edu/
