department,url
college of arts and sciences,https://www.fvsu.edu/artsandsciences
department of behavioral and social sciences,https://www.fvsu.edu/about-fort-valley-state-university/academics/college-of-arts-and-sciences/department-of-behavioral-and-social-sciences/
department of biology,https://www.fvsu.edu/about-fort-valley-state-university/academics/college-of-arts-and-sciences/biology-department/biology/
department of business administration and economics ,https://www.fvsu.edu/business-administration
department of chemistry,https://www.fvsu.edu/about-fort-valley-state-university/academics/college-of-arts-and-sciences/chemistry-department/
department of counseling,https://www.fvsu.edu/counseling
department of languages and liberal studies,https://www.fvsu.edu/about-fort-valley-state-university/academics/college-of-arts-and-sciences/languages-liberal-studies-department/
department of mathematics and computer science,https://www.fvsu.edu/academics/college-of-arts-and-sciences/mathematics-department1
department of military science and ROTC,https://www.fvsu.edu/military-science-rotc
college of education,https://www.fvsu.edu/college-of-education/
"college of agriculture, family sciences, and technology",https://ag.fvsu.edu/
department of agriculural sciences,https://ag.fvsu.edu/departments/ag-sciences
department of engineering technology,https://ag.fvsu.edu/departments/engineering-technology
department of family and consumer sciences,https://ag.fvsu.edu/departments/family-and-consumer-sciences
department of veterinary science and public health,https://ag.fvsu.edu/departments/veterinary-science-and-public-health
department of agriculture graduate studies,https://ag.fvsu.edu/departments/graduate-studies
home,https://www.fvsu.edu/
