Type,URL,Notes
base,https://howard.edu/,
people profiles,https://profiles.howard.edu/,full faculty listing - can filter for any school
program listings,https://www2.howard.edu/fields-of-study,
schools/colleges,https://www2.howard.edu/academics/schools-and-colleges,
graduate school,https://gs.howard.edu/,
graduate programs,https://gs.howard.edu/graduate-programs,lists faculty
african studies,https://gs.howard.edu/graduate-programs/african-studies,lists faculty
anatomy,https://gs.howard.edu/graduate-programs/anatomy,lists faculty
atmospheric science,https://gs.howard.edu/graduate-programs/atmospheric-science,lists faculty
biochemistry and molecular biology,https://gs.howard.edu/graduate-programs/biochemistry-and-molecular-biology,lists faculty
biology,https://gs.howard.edu/graduate-programs/biology,lists faculty
chemical engineering,https://gs.howard.edu/graduate-programs/chemical-engineering,lists faculty
chemistry,https://gs.howard.edu/graduate-programs/chemistry,lists faculty
college and university faculty preparation,https://gs.howard.edu/graduate-programs/college-and-university-faculty-preparation,lists faculty
communication sciences and disorders,https://gs.howard.edu/graduate-programs/communication-sciences-and-disorders,lists faculty
"communication, culture and media studies",https://gs.howard.edu/graduate-programs/communication-culture-and-media-studies,lists faculty
computer science,https://gs.howard.edu/graduate-programs/computer-science,lists faculty
cybersecurity,https://gs.howard.edu/graduate-programs/cybersecurity,lists faculty
economics,https://gs.howard.edu/graduate-programs/economics,lists faculty
electrical engineering,https://gs.howard.edu/graduate-programs/electrical-and-computer-engineering,lists faculty
english,https://gs.howard.edu/graduate-programs/english,lists faculty
genetics and human genetics,https://gs.howard.edu/graduate-programs/genetics-and-human-genetics,lists faculty
history,https://gs.howard.edu/graduate-programs/history,lists faculty
human development and psychoeducational studies,https://gs.howard.edu/resources/phd-procedures,link faulty
international studies,https://gs.howard.edu/graduate-programs/international-studies,lists faculty
mathematics,https://gs.howard.edu/graduate-programs/mathematics,lists faculty
mechanical engineering,https://gs.howard.edu/graduate-programs/mechanical-engineering,lists faculty
microbiology,https://gs.howard.edu/graduate-programs/microbiology,lists faculty
nutritional sciences,https://gs.howard.edu/graduate-programs/nutritional-sciences,lists faculty
pharmaceutical sciences,https://gs.howard.edu/graduate-programs/pharmaceutical-sciences,lists faculty
pharmacology,https://gs.howard.edu/graduate-programs/pharmacology,lists faculty
physics and astronomy,https://gs.howard.edu/graduate-programs/physics-and-astronomy,lists faculty
physiology and biophysics,https://gs.howard.edu/graduate-programs/physiology-and-biophysics,lists faculty
political science,https://gs.howard.edu/graduate-programs/political-science,lists faculty
psychology,https://gs.howard.edu/graduate-programs/psychology,lists faculty
social work,https://gs.howard.edu/graduate-programs/social-work,lists faculty
sociology and criminology,https://gs.howard.edu/graduate-programs/sociology-and-criminology,lists faculty
women's studies,https://gs.howard.edu/graduate-programs/womens-studies,lists faculty
college of arts and sciences,https://coas.howard.edu/,
school of business,https://business.howard.edu/,
cathy hughes school of communications,https://communications.howard.edu/,
college of dentistry,http://healthsciences.howard.edu/education/colleges/dentistry,
school of divinity,https://divinity.howard.edu/,
school of education,https://education.howard.edu/,
department of art,https://art.howard.edu/,
college of engineering and architecture,https://cea.howard.edu/,
school of law,http://www.law.howard.edu/,link faulty
college of medicine,http://medicine.howard.edu/,
college of nursing and allied health sciences,https://cnahs.howard.edu/,
college of pharmacy,https://pharmacy.howard.edu/,
school of social work,https://socialwork.howard.edu/,
