department,url
BIOLOGY,https://www.lincoln.edu/departments/biology-department
BUSINESS & ENTREPRENEURIAL STUDIES,https://www.lincoln.edu/departments/business-entrepreneurial-studies-department
CHEMISTRY & PHYSICS,https://www.lincoln.edu/departments/chemistry-physics-engineering-science-department
COMPUTER SCIENCE,https://www.lincoln.edu/departments/computer-science-department
HEALTH SCIENCE,https://www.lincoln.edu/departments/health-science-department
"HISTORY, POLITICAL SCIENCE & PHILOSOPHY",https://www.lincoln.edu/departments/history-political-science-philosophy-department
LANGUAGES & LITERATURE,https://www.lincoln.edu/departments/languages-and-literature-department
MASS COMMUNICATIONS,https://www.lincoln.edu/departments/mass-communications-department
MATHEMATICAL SCIENCES,https://www.lincoln.edu/departments/mathematical-sciences-department
NURSING,https://www.lincoln.edu/departments/nursing-department
PSYCHOLOGY & HUMAN SERVICES,https://www.lincoln.edu/departments/psychology-and-human-services-department
SOCIOLOGY & CRIMINAL JUSTICE,https://www.lincoln.edu/departments/sociology-and-criminal-justice-department
VISUAL & PERFORMING ARTS,https://www.lincoln.edu/departments/visual-and-performing-arts-department
home,https://www.lincoln.edu/
