Department,URL
business administration,https://www.mvsu.edu/academics/academic-programs/business-administration-homepage
business administration faculty,https://www.mvsu.edu/academics/academic_programs/professional-studies/departments/business-administration/faculty
department of criminal justice faculty,https://www.mvsu.edu/academics/academic_programs/professional-studies/departments/criminal-justice/faculty
department of criminal justice,https://www.mvsu.edu/academics/academic-programs/criminal-justice-homepage
department of education,https://www.mvsu.edu/academics/academic-programs/education
department of education faculty,https://www.mvsu.edu/academics/academic-programs/education/departments/education/faculty
department of natural sciences and environmental health,https://www.mvsu.edu/academics/academic-programs/arts-sciences/departments/natural-sciences-environmental-health
department of natural sciences and environmental health faculty,https://www.mvsu.edu/academics/academic-programs/arts-sciences/departments/natural-sciences-environmental-health/faculty
department of social sciences,https://www.mvsu.edu/academics/academic-programs/arts-sciences/departments/social-sciences
department of social work,https://www.mvsu.edu/academics/academic-programs/social-work-homepage
department of social work faculty,https://www.mvsu.edu/academics/academic-programs/professional-studies/departments/social-work/about/directory
department of mass communication,https://www.mvsu.edu/academics/academic-programs/mass-communication-homepage
department of mass communication faculty,https://www.mvsu.edu/academics/academic_programs/professional-studies/departments/communications/faculty/faculty
home,https://www.mvsu.edu/
