department,url
department of visual and performing arts,https://scsu.edu/academics/department-of-visual-performing-arts/
department of social sciences,https://scsu.edu/academics/department-of-social-sciences/
department of military science,https://scsu.edu/academics/army-rotc/
department of mathematics and computer science,https://scsu.edu/academics/department-of-mathematics-computer-science/
department of industrial and electrical engineering technology,https://scsu.edu/academics/department-of-industrial-electrical-engineering-technology/
department of human services,https://scsu.edu/academics/department-of-human-services/
department of health sciences,https://scsu.edu/academics/department-of-health-sciences/
department of family and consumer services,https://scsu.edu/academics/department-of-family-consumer-sciences/
department of english and modern languages,https://scsu.edu/academics/department-of-english-modern-languages/
department of education,https://scsu.edu/academics/department-of-education/
department of civil and mechanical engineering technology and nuclear engineering,https://scsu.edu/academics/department-of-civil-mechanical-engineering-technology-and-nuclear-engineering/
department of business administration,https://scsu.edu/academics/department-of-business-administration/
department of biological and physical sciences,https://scsu.edu/academics/department-of-biological-physical-sciences/
"department of accounting, agribusiness and economics",https://scsu.edu/academics/department-of-accounting-agribusiness-economics/
home,https://scsu.edu/
