department,url
jesse h. jones school of business,http://www.tsu.edu/academics/colleges-and-schools/jesse-h-jones-school-of-business/index.html
Barbara Jordan Mickey Leland School of Public Affairs,http://www.tsu.edu/academics/colleges-and-schools/bjml-school-public-affairs/index.html
administration of justice,http://www.tsu.edu/academics/colleges-and-schools/bjml-school-public-affairs/departments/administration-of-justice/index.html
department of political science,http://www.tsu.edu/academics/colleges-and-schools/bjml-school-public-affairs/departments/political-science/index.html
department of urban planning and environmental policy,http://www.tsu.edu/academics/colleges-and-schools/bjml-school-public-affairs/departments/urban-planning-and-environmental-policy/index.html
college of education,http://www.tsu.edu/academics/colleges-and-schools/college-of-education/index.html
department of curriculum and instruction,http://www.tsu.edu/academics/colleges-and-schools/college-of-education/academics-departments/departments/curriculum-instruction/index.html
department of educational administration and foundations,http://www.tsu.edu/academics/colleges-and-schools/college-of-education/academics-departments/departments/educational-administration-foundations/index.html
department of counseling,http://www.tsu.edu/academics/colleges-and-schools/college-of-education/academics-departments/departments/counseling/index.html
"department of health, kinesiology, and sport studies",http://www.tsu.edu/academics/colleges-and-schools/college-of-education/academics-departments/departments/health-kinesiology-and-sport-studies/index.html
"college of science, engineering and technology",https://coset.tsu.edu/
department of biology,https://biology.tsu.edu/
department of computer science,http://cs.tsu.edu/
department of chemistry,http://chemistry.tsu.edu/
department of engineering,http://engineering.tsu.edu/
department of environmental and interdisciplinary sciences,http://eis.tsu.edu/
department of industrial technologies,http://industrial.tsu.edu/
department of mathematics,http://mathematics.tsu.edu/
department of physics,http://physics.tsu.edu/
department of transportation studies,http://transportation.tsu.edu/
college of liberal arts and behavioral sciences,http://www.tsu.edu/academics/colleges-and-schools/colabs/index.html
department of visual and performing arts ,http://www.tsu.edu/academics/colleges-and-schools/colabs/vpa/index.html
department of psychology,http://www.tsu.edu/academics/colleges-and-schools/colabs/psychology/index.html
department of english and foreign languages ,http://www.tsu.edu/academics/colleges-and-schools/colabs/english/index.html
"department of history, geography, and general studies",http://www.tsu.edu/academics/colleges-and-schools/colabs/history/index.html
department of sociology,http://www.tsu.edu/academics/colleges-and-schools/colabs/sociology/index.html
department of music,http://www.tsu.edu/academics/colleges-and-schools/colabs/music/index.html
department of social work,http://www.tsu.edu/academics/colleges-and-schools/colabs/social-work/index.html
department of human services and consumer sciences,http://www.tsu.edu/academics/colleges-and-schools/colabs/hscs/index.html
college of pharmacy and health sciences,http://www.tsu.edu/academics/colleges-and-schools/college-of-pharmacy-and-health-sciences/index.html
school of communication,http://www.tsu.edu/academics/colleges-and-schools/school-of-communication/
thurgood marshall school of law,http://www.tsulaw.edu/
home,http://www.tsu.edu/
