department,url
school of business and public administration,https://www.udc.edu/sbpa/
department of accounting and finance,https://www.udc.edu/sbpa/sbpa/departments/accounting-finance-economics/
department of business management,https://www.udc.edu/sbpa/sbpa/departments/business-management/
department of graduate studies,https://www.udc.edu/sbpa/sbpa/departments/department-public-administration-graduate-studies/
college of arts and sciences,https://www.udc.edu/cas/
department of arts and humanities,https://www.udc.edu/cas/arts-humanities/#content
"department of education, health, and social work",https://www.udc.edu/cas/education-health-social-work/#content
department of sciences and mathematics ,https://www.udc.edu/cas/science-mathematics/#content
department of social and behavioral sciences,https://www.udc.edu/cas/social-behavioral-sciences/#content
"College of Agriculture, Urban Sustainability & Environmental Sciences",https://www.udc.edu/causes/
urban leadership and entrepreneurship,https://www.udc.edu/causes/phd/
center for sustainable development and resilience ,https://www.udc.edu/causes/center-for-sustainable-development/
architecture and community planning,https://www.udc.edu/causes/architecture
center for urban agriculture and gardening education,https://www.udc.edu/causes/causes-landgrant-centers/center-for-urban-agriculture-gardening-education/
urban sustainability,https://www.udc.edu/causes/urban-sustainability/
"center for nutrition, diet, and health",https://www.udc.edu/causes/causes-landgrant-centers/the-center-for-nutrition-diet-and-health/
nutrition and dietetics ,https://www.udc.edu/causes/nutrition-dietetics
professional science masters,https://www.udc.edu/causes/professional-science-masters-program
nursing,https://www.udc.edu/causes/nursing
school of engineering and applied sciences,https://www.udc.edu/seas/
department of civil engineering,https://www.udc.edu/seas/civil-engineering/
department of computer science and information technology,https://www.udc.edu/seas/computer-science/
department of electrical and computer engineering,https://www.udc.edu/seas/electrical-and-computer-engineering/
department of mechanical engineering,https://www.udc.edu/seas/seas/mechanical-engineering/
david a clarke school of law,https://law.udc.edu/
home,https://www.udc.edu/
