department,url
"School of Education, Social Sciences, and the Arts",https://www.umes.edu/SESA
Department of Criminal Justice,https://www.umes.edu/Criminal
Department of Education,https://www.umes.edu/Education
Department of English and Modern Languages,https://www.umes.edu/English
Department of Fine Arts,https://www.umes.edu/Arts
Department of Math,https://www.umes.edu/Math
Department of Social Sciences,https://www.umes.edu/Social
School of Business and Technology ,https://www.umes.edu/SBT
"Department of Business, Management and Accounting",https://www.umes.edu/BMA
Department of Computer Science and Engineering Technology,https://www.umes.edu/CSET
Department of Engineering and Aviation Sciences ,https://www.umes.edu/EngAvi
Department of Hospitality and Tourism Management,https://www.umes.edu/HTM
Department of the Built Environment ,https://www.umes.edu/tech
School of Pharmacy and Health Professions,https://www.umes.edu/SHP
Department of Kinesiology,https://www.umes.edu/Kinesiology
Department of Physical Therapy,https://www.umes.edu/PT
Department of Physician Assistant ,https://www.umes.edu/PA/
Department of Rehabilitation Services,https://www.umes.edu/rehab
School of Agricultural and Natural Sciences,https://www.umes.edu/sans
"Department of Agriculture, Food and Resource Sciences",https://www.umes.edu/Agriculture
Department of Human Ecology,https://www.umes.edu/HE
Department of Natural Sciences ,https://www.umes.edu/sciences
School of Pharmacy,https://www.umes.edu/pharmacy
School of Graduate Studies ,https://www.umes.edu/Grad
home,https://wwwcp.umes.edu/
