department,url
college of agriculture,https://www.vsu.edu/agriculture/index.php
agriculture,https://www.vsu.edu/agriculture/academics/agriculture/index.php
family and consumer science,https://www.vsu.edu/agriculture/academics/family-and-consumer-science/index.php
hospitality management,https://www.vsu.edu/agriculture/academics/hospitality-management/index.php
Dietetics,https://www.vsu.edu/agriculture/academics/family-and-consumer-science/dietetics/index.php
Cooperative Extension,https://www.ext.vsu.edu/
reginald f. lewis college of business,https://www.vsu.edu/business/index.php
accounting and finance,https://www.vsu.edu/business/departments/accounting-and-finance/index.php
management and marketing,https://www.vsu.edu/business/departments/management-and-marketing/index.php
computer information systems,https://www.vsu.edu/business/departments/management-information-systems/index.php
college of education,https://www.vsu.edu/education/index.php
Educational Leadership,https://www.vsu.edu/education/departments/leadership/index.php
"Health, Physical Education, Recreation, Dance/Sport Management",https://www.vsu.edu/education/departments/physical-education/index.php
Counselor Education,https://www.vsu.edu/education/departments/school-community-counseling/index.php
Teaching and Learning,https://www.vsu.edu/education/departments/teaching-learning/index.php
Doctoral Studies,https://www.vsu.edu/education/departments/leadership/doctoral-programs/index.php
Bachelor of Individualized Studies (BIS),https://www.vsu.edu/education/departments/individualized-services/undergraduate/index.php
Master of Interdisciplinary Studies (MIS),https://www.vsu.edu/education/departments/individualized-services/graduate/index.php
college of engineering and technology,https://www.vsu.edu/cet/index.php
engineering,https://www.vsu.edu/cet/departments/engineering/index.php
applied engineering technology,https://www.vsu.edu/cet/departments/technology/index.php
mathematics and economics ,https://www.vsu.edu/cet/departments/mathematics/index.php
college of humanities and social sciences,https://www.vsu.edu/sola/index.php
art and design,https://www.vsu.edu/sola/departments/art-and-design/index.php
history and philosophy,https://www.vsu.edu/sola/departments/history-and-philosophy/index.php
languages and literature,https://www.vsu.edu/sola/departments/languages-and-literature/index.php
mass communication,https://www.vsu.edu/sola/departments/mass-communications/index.php
military science,https://www.vsu.edu/sola/departments/military-science/index.php
music,https://www.vsu.edu/sola/departments/music/index.php
political science and public administration,https://www.vsu.edu/sola/departments/political-science/index.php
social work,https://www.vsu.edu/sola/departments/social-work/index.php
sociology and criminal justice,https://www.vsu.edu/sola/departments/sociology/index.php
college of natural and health sciences,https://www.vsu.edu/cnhs/index.php
biology,https://www.vsu.edu/cnhs/departments/biology/index.php
chemistry,https://www.vsu.edu/cnhs/departments/chemistry/index.php
nursing,https://www.vsu.edu/cnhs/departments/nursing/index.php
psychology,https://www.vsu.edu/cnhs/departments/psychology/index.php
