"department	url",
"college of arts, sciences, business, and education	https://www.wssu.edu/academics/colleges-and-departments/college-of-arts-sciences-business-education/index.html",
"school of health science	https://www.wssu.edu/academics/colleges-and-departments/school-of-health-sciences/index.html",
"department of arts and humanities	https://www.wssu.edu/academics/colleges-and-departments/college-of-arts-sciences-business-education/arts-humanities/index.html",
"department of business	https://www.wssu.edu/academics/colleges-and-departments/college-of-arts-sciences-business-education/business/index.html",
"department of education	https://www.wssu.edu/academics/colleges-and-departments/college-of-arts-sciences-business-education/education/index.html",
"department of natural and physical sciences	https://www.wssu.edu/academics/colleges-and-departments/college-of-arts-sciences-business-education/natural-and-physical-sciences/index.html",
"department of social sciences	https://www.wssu.edu/academics/colleges-and-departments/college-of-arts-sciences-business-education/social-sciences/index.html",
"department of clinical and laboratory sciences	https://www.wssu.edu/academics/colleges-and-departments/school-of-health-sciences/department-of-clinical-laboratory-science/index.html",
"department of exercise physiology	https://www.wssu.edu/academics/colleges-and-departments/school-of-health-sciences/department-of-exercise-physiology/index.html",
"department of healthcare management	https://www.wssu.edu/academics/colleges-and-departments/school-of-health-sciences/department-of-healthcare-management/index.html",
"department of nursing	https://www.wssu.edu/academics/colleges-and-departments/school-of-health-sciences/division-of-nursing/index.html",
"department of occupational therapy	https://www.wssu.edu/academics/colleges-and-departments/school-of-health-sciences/department-of-occupational-therapy/index.html",
"department of physical therapy	https://www.wssu.edu/academics/colleges-and-departments/school-of-health-sciences/department-of-physical-therapy/index.html",
"department of rehabilitation counseling	https://www.wssu.edu/academics/colleges-and-departments/school-of-health-sciences/department-of-rehabilitation-counseling.html",
"department of social work	https://www.wssu.edu/academics/colleges-and-departments/school-of-health-sciences/department-of-social-work/index.html",
"department of therapeutic recreation	https://www.wssu.edu/academics/colleges-and-departments/school-of-health-sciences/department-of-therapeutic-recreation.html",
home,https://www.wssu.edu/
